year,country,industry,action,asset,data_type,data_stolen
2013,EE,813940,['hacking'],S - Web application,[],
2013,US,423450,['hacking'],S - Web application,['Payment'],Yes
2021,ZA,722511,"['misuse', 'physical']",M - Payment card,['Payment'],Yes
2007,US,522390,['misuse'],U - Desktop,['Personal'],Yes
2020,KZ,6117,['error'],S - Database,['Personal'],Yes
2016,US,446110,['error'],M - Documents,['Medical'],Yes
2016,US,522110,['misuse'],Unknown,['Secrets'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2015,US,333514,['social'],P - Finance,[],
2007,US,622,"['misuse', 'social']",S - Database,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2010,CA,62,['error'],M - Documents,['Medical'],Yes
2014,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,621111,['error'],S - Database,['Medical'],Yes
2014,AL,92,['hacking'],S - Web application,[],
2016,ZA,522110,"['hacking', 'physical']",T - ATM,['Payment'],Yes
2019,CA,622110,['malware'],S - Unknown,[],
2012,KZ,3364,"['hacking', 'malware', 'social']",U - Desktop,"['Classified', 'Internal', 'Credentials', 'Secrets', 'System']",Yes
2013,US,813319,['hacking'],S - Web application,"['Medical', 'Personal']",Yes
2014,US,446110,['physical'],U - Desktop,['Medical'],Potentially
2013,US,923140,['misuse'],S - Database,['Unknown'],Yes
2010,US,621111,['physical'],U - Desktop,['Medical'],Potentially
2012,US,622110,['physical'],U - Laptop,['Medical'],Potentially
2015,US,519130,['hacking'],S - Web application,['Credentials'],Yes
2025,GB,622110,['hacking'],S - Web application,['Unknown'],Yes
2013,Unknown,000,['hacking'],Unknown,[],
2011,US,522120,['hacking'],S - Database,"['Bank', 'Personal']",Yes
2013,US,325412,['hacking'],S - Web application,[],
2011,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,325414,['social'],P - End-user or employee,['Personal'],Yes
2017,CA,522220,['hacking'],S - Unknown,['Personal'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2016,US,622110,"['malware', 'social']",P - End-user or employee,['Medical'],Potentially
2011,US,923140,['misuse'],S - Database,['Unknown'],Yes
2010,US,622110,['error'],M - Disk media,['Medical'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2014,US,621512,['error'],M - Documents,['Medical'],Yes
2013,US,611310,['misuse'],M - Payment card,['Payment'],Yes
2014,US,541613,['error'],S - Database,"['Bank', 'Personal']",Yes
2012,US,22,['hacking'],Unknown,"['Internal', 'Secrets']",Yes
2012,GH,6113,['hacking'],S - Web application,"['Credentials', 'Personal']",Yes
2016,US,923120,['misuse'],S - Unknown,['Medical'],Potentially
2013,US,921140,['error'],S - Database,['Personal'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2024,IT,51,['hacking'],S - Web application,"['Sensitive Personal', 'Personal']",Yes
2012,US,922120,['hacking'],S - Database,"['Classified', 'Internal']",Yes
2014,CA,622110,['physical'],M - Documents,"['Medical', 'Personal']",Yes
2008,US,621111,['misuse'],S - Database,['Medical'],Yes
2015,IN,92,['hacking'],S - Web application,['Unknown'],No
2012,US,423450,['hacking'],S - Web application,['Payment'],Yes
2013,AU,812990,['hacking'],S - Database,"['Credentials', 'Personal']",Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,IL,926130,['physical'],U - Laptop,"['Classified', 'Unknown']",Potentially
2015,AU,524114,['unknown'],Unknown,['Personal'],Yes
2017,US,611310,['error'],S - Database,['Personal'],Yes
2020,US,621320,['malware'],S - Database,['Personal'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2019,CA,622110,['misuse'],S - Database,['Medical'],Yes
2014,US,721110,"['hacking', 'malware']",U - POS terminal,['Payment'],Yes
2010,US,622110,"['physical', 'social']",M - Documents,"['Payment', 'Medical']",Potentially
2011,GB,923,['error'],S - Web application,['Medical'],Yes
2013,PS,921110,['hacking'],S - Web application,[],
2013,US,519190,"['hacking', 'malware']",S - Web application,['Secrets'],Yes
2011,US,923140,['error'],M - Documents,['Unknown'],Yes
2016,AM,928110,['hacking'],S - Database,['Personal'],Yes
2012,US,515111,['misuse'],U - Telephone,['Payment'],Yes
2019,US,623312,['misuse'],M - Unknown,"['Personal', 'Bank']",Yes
2016,US,447110,['physical'],T - Gas terminal,['Payment'],Potentially
2025,US,541511,['hacking'],S - Web application,['Unknown'],Yes
2010,US,923140,['error'],M - Documents,['Unknown'],Unknown
2010,US,621210,['physical'],M - Flash drive,['Medical'],Potentially
2013,US,923140,['misuse'],S - Database,['Unknown'],Yes
2013,US,621511,['error'],M - Documents,"['Medical', 'Personal']",Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2010,US,923140,['unknown'],Unknown,['Unknown'],Yes
2013,US,923140,['physical'],Unknown,['Unknown'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2016,US,522130,['physical'],T - ATM,['Payment'],Yes
2012,US,923140,['misuse'],M - Documents,['Unknown'],Yes
2015,US,561110,['hacking'],S - Database,['Personal'],Potentially
2013,US,611310,['error'],U - Desktop,"['Bank', 'Personal']",Yes
2011,US,621498,['error'],M - Documents,['Medical'],Yes
2013,GB,928120,['error'],S - Web application,['Personal'],Yes
2013,IN,511210,['hacking'],S - Web application,[],
2013,US,621111,['physical'],U - Desktop,['Medical'],Potentially
2013,US,621111,['physical'],U - Laptop,['Medical'],Potentially
2010,US,522298,['physical'],M - Disk media,"['Personal', 'Unknown']",Potentially
2012,US,424210,['unknown'],M - Documents,['Medical'],Potentially
2016,AU,711310,"['hacking', 'social']",S - Mail,"['Credentials', 'Personal']",Yes
2012,US,923140,['error'],M - Documents,['Unknown'],Yes
2023,US,5223,"['hacking', 'malware']",S - File,['Personal'],Yes
